City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
254,Oktyabrskoye,RU,62.74,light rain,43.0645,44.7417,Prolesok Mini-hotel
255,Buala,SB,78.42,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
256,Novotroitskaya,RU,77.56,light rain,45.3267,41.5253,"Gostevoy Dom ""Zastava"""
257,Numan,NG,75.6,overcast clouds,9.4667,12.0333,Zangun Motel
263,Doembang Nangbuat,TH,88.05,light rain,14.8333,100.1,ธาราริน วิลล่า
264,Ponta Delgada,PT,75.92,few clouds,37.7333,-25.6667,Vila Nova Hotel
265,Vizinga,RU,67.64,clear sky,61.0749,50.1031,"Gostinitsa ""Nadezhda"""
266,New Philadelphia,US,74.86,overcast clouds,40.4898,-81.4457,"Holiday Inn Express & Suites New Philadelphia, an IHG Hotel"
267,Siderno,IT,89.33,clear sky,38.2779,16.302,Grand Hotel President
269,Ostrovnoy,RU,67.33,overcast clouds,68.0531,39.5131,
270,Santa Rosa,PH,85.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
274,Luena,AO,74.88,scattered clouds,-11.7833,19.9167,Hotel Kandamba
275,Skovorodino,RU,63.66,overcast clouds,53.9833,123.9167,Amur
276,Flin Flon,CA,60.64,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
277,George Town,MY,82.33,moderate rain,5.4112,100.3354,Cititel Penang
280,Cockburn Town,TC,80.76,clear sky,21.4612,-71.1419,Osprey Beach Hotel
281,Urucara,BR,88.72,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
282,Khatanga,RU,61.75,overcast clouds,71.9667,102.5,"""Khatanga"""
285,Thessalon,CA,64.69,overcast clouds,46.2501,-83.5666,Carolyn Beach Inn & Restaurant
287,Shintomi,JP,76.71,clear sky,32.0785,131.4723,ホテルスイート
288,Morki,RU,67.37,clear sky,56.4303,48.9947,Posutochno Kvartira
289,Touros,BR,82.6,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
291,Tanabe,JP,77.04,scattered clouds,33.7333,135.3667,美吉屋旅館
292,Ha Tinh,VN,79.68,few clouds,18.3333,105.9,Phú Quý
293,Los Llanos De Aridane,ES,74.95,clear sky,28.6585,-17.9182,Valle Aridane
295,Praia Da Vitoria,PT,80.85,few clouds,38.7333,-27.0667,Hotel Branco I
297,Pangoa,PE,84.85,scattered clouds,-12.1167,-73.0,
301,Kibala,TD,78.73,overcast clouds,9.1104,18.3463,Prasant Hotels
304,Saint-Chamond,FR,82.44,clear sky,45.4737,4.5254,Le Vulcain
305,Union,US,87.57,clear sky,40.6334,-74.2663,Homewood Suites by Hilton Newark-Cranford
307,Port Hardy,CA,62.78,clear sky,50.6996,-127.4199,Airport Inn-Port Hardy
308,Broome,US,81.7,clear sky,42.2506,-75.833,Chenango Valley State Park
310,Luwuk,ID,75.97,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
311,Vanimo,PG,77.7,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
314,Hoskote,IN,80.26,broken clouds,13.0669,77.7983,Hotel LG PARK
315,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
317,Sibolga,ID,77.94,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
318,Bima,ID,70.66,clear sky,-8.4667,118.7167,Lambitu Hotel
319,Auki,SB,75.76,scattered clouds,-8.7676,160.7034,Auki Motel
320,Prince Rupert,CA,60.89,scattered clouds,54.3161,-130.3201,Crest Hotel
321,Hamilton,US,73.06,thunderstorm,39.1834,-84.5333,Six Acres Bed & Breakfast
322,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
324,Caucaia,BR,87.31,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
326,Saldanha,ZA,68.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
328,Nkan,GA,78.57,overcast clouds,0.3833,9.7833,Hôtel Santa Barbara
329,Poya,NC,68.34,scattered clouds,-21.35,165.15,
330,Lakhdenpokhya,RU,66.58,overcast clouds,61.5198,30.1992,Rauhala Place
331,Keuruu,FI,62.8,overcast clouds,62.2667,24.7,Hostelli Nonna
333,Mayo,US,86.0,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
335,Kuching,MY,77.22,scattered clouds,1.55,110.3333,Hilton Kuching
336,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
337,Lexington,US,82.33,overcast clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
338,Lauria,IT,79.97,few clouds,40.0465,15.8358,Hotel Isola Di Lauria
339,Yerbogachen,RU,62.24,overcast clouds,61.2767,108.0108,
340,Rocha,UY,66.18,broken clouds,-34.4833,-54.3333,Hotel Arrarte
341,Candelaria,PH,81.39,overcast clouds,13.9311,121.4233,Casa de Provincia
343,Pangai,TO,75.76,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
344,Portland,US,76.8,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
345,Puerto Leguizamo,CO,71.8,moderate rain,-0.1934,-74.7819,la casona de juancho
347,Owando,CG,87.48,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
348,Sicamous,CA,76.19,clear sky,50.8331,-118.9856,Best Western Sicamous Inn
349,Bambanglipuro,ID,74.8,broken clouds,-7.95,110.2833,Puri Brata
350,Buta,CD,75.63,light rain,2.7858,24.73,Hôtel BOPANDO
351,Ketchikan,US,64.87,clear sky,55.3422,-131.6461,Snow's Cove Lodge
352,Moron,AR,69.94,overcast clouds,-34.6534,-58.6198,Hotel Morón
353,Kudahuvadhoo,MV,82.56,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
354,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
356,Pisco,PE,64.45,haze,-13.7,-76.2167,Hotel San Isidro Oficial
357,Babugarh,IN,86.74,overcast clouds,28.7167,77.85,Manohar Heritage
358,Erenhot,CN,76.89,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
359,Jonkoping,SE,67.39,few clouds,57.7814,14.1562,Scandic Portalen
360,Inirida,CO,75.45,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
361,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
362,Khargone,IN,79.03,overcast clouds,21.8167,75.6,SPOT ON 63187 Vallabha Hotel
363,Orel-Izumrud,RU,77.02,few clouds,43.4583,39.9244,Strana Magnoliy
364,Rongcheng,CN,80.37,few clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
365,Katobu,ID,72.46,clear sky,-4.9408,122.5276,La Ode Husein
367,Mendota,US,68.27,clear sky,36.7536,-120.3816,Joe Gómez motel
368,Lianran,CN,70.34,light rain,24.9227,102.485,半岛酒店
369,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
370,Champerico,GT,81.14,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
371,Baker City,US,71.31,clear sky,44.7749,-117.8344,Bridge Street Inn
372,San Policarpo,PH,79.03,overcast clouds,12.1791,125.5072,Agapita M. Nicart
374,Jurm,AF,78.03,clear sky,36.8648,70.8342,
375,Hambantota,LK,73.74,broken clouds,6.1241,81.1185,Bungalow 63
377,Concepcion Del Oro,MX,69.31,scattered clouds,24.6333,-101.4167,Hotel Hacienda San Javier
378,Colomi,BO,61.07,few clouds,-17.35,-65.8667,Casa
381,Khor,RU,66.33,broken clouds,47.8861,134.9464,Gostinitsa Deksi
384,Bulaevo,KZ,64.98,overcast clouds,54.9056,70.4439,"Игровой клуб ""ДОМ ИГР Z"""
385,Mbala,ZM,65.14,few clouds,-8.8402,31.3659,Lake Chila Lodge
386,Usuki,JP,76.96,few clouds,33.1081,131.7878,Usukiya
387,Marawi,PH,69.57,overcast clouds,7.9986,124.2928,Derogongan Residence
388,Vardo,NO,60.78,clear sky,70.3705,31.1107,Vardø Hotel AS
390,Terrace,CA,66.11,few clouds,54.5163,-128.6035,Northern Motor Inn
391,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
392,Soyo,AO,72.95,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
393,Zhigansk,RU,65.3,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
394,Kauhajoki,FI,62.58,overcast clouds,62.4333,22.1833,Helmin Kortteeri / Kahvila Helmi Saarikoski Oy
395,Lesozavodsk,RU,70.54,overcast clouds,45.4794,133.4244,Hotel Chelyuskina
396,San Vicente,AR,79.5,few clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
397,Padang,ID,77.05,few clouds,-0.9492,100.3543,Mercure Padang
398,Maarianhamina,AX,60.66,broken clouds,60.0973,19.9348,Park Alandia Hotel
399,Zhezkazgan,KZ,79.18,few clouds,47.8043,67.7144,Hotel Zumrat
400,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
402,Pitimbu,BR,82.99,few clouds,-7.4706,-34.8086,Reserva do Abiaí
405,Dingle,PH,76.84,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
406,Uyskoye,RU,62.15,overcast clouds,54.3775,60.0047,Niva
407,Rock Springs,US,76.23,clear sky,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
409,Kisanga,TZ,76.64,broken clouds,-7.4362,37.7034,
410,Preobrazheniye,RU,69.6,clear sky,42.9019,133.9064,Campsite Orlan
411,Pokhara,NP,72.5,light rain,28.2333,83.9833,OYO 170 Hotel View Point
412,Andra,RU,61.0,overcast clouds,62.5147,65.8878,"Gostinitsa ""Ob'"""
413,Indian Head,US,88.05,haze,38.6001,-77.1622,"Red Carpet Inn Indian Head, MD"
414,Lata,PT,83.48,clear sky,40.1629,-8.3327,Casa Maquia
416,Nyuksenitsa,RU,72.41,scattered clouds,60.4128,44.2397,Sukhona Hotel
417,Haimen,CN,84.09,overcast clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
420,Pangkalanbuun,ID,73.99,extreme rain,-2.6833,111.6167,Grand Kecubung Hotel
421,Kokopo,PG,77.41,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
422,Aketi,CD,74.01,light rain,2.7388,23.7833,
423,Zheleznodorozhnyy,RU,85.55,scattered clouds,55.7503,38.0042,Hotel Dali
424,Peterhead,GB,63.0,overcast clouds,57.5058,-1.7981,Palace Hotel
425,Avera,US,89.55,broken clouds,33.194,-82.5271,
426,Rocky Mountain House,CA,68.81,few clouds,52.3668,-114.9188,Walking Eagle Inn & Lodge
427,Mae Ramat,TH,76.44,clear sky,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
428,Maamba,ZM,66.76,clear sky,-17.3667,27.15,
430,Tual,ID,78.96,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
431,Solnechnyy,RU,60.06,clear sky,50.7214,136.6319,Hotel complex Pastoral
432,Gull Lake,CA,69.42,clear sky,50.1001,-108.4847,Campbell's Accommodations
433,Sioux Lookout,CA,64.47,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
435,Chingirlau,KZ,73.35,overcast clouds,51.095,54.0814,Хостыл Аққу
436,Dongzhen,CN,79.61,broken clouds,22.3797,110.9389,茂名中汇时尚酒店
437,Nuevo Progreso,MX,86.54,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
439,Idenao,CM,76.37,light rain,4.2475,9.0047,Moland Beach Resort
440,Sinnamary,GF,84.11,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
442,Misratah,LY,87.42,clear sky,32.3754,15.0925,Almasa Hotel
443,Sergeyevka,KZ,64.65,overcast clouds,53.88,67.4158,Amina
445,Naze,JP,79.72,scattered clouds,28.3667,129.4833,Shishime Hotel
446,Kavarskas,LT,63.0,overcast clouds,55.4333,24.9167,Stovyklavietė Vilkatėnai
448,Mantua,IT,88.41,broken clouds,45.1667,10.7833,Hotel la Favorita
450,Santa Paula,US,75.67,overcast clouds,34.3542,-119.0593,Santa Paula Inn
452,Porto Novo,BJ,80.42,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
453,Mweka,CD,87.06,overcast clouds,-4.85,21.5667,Guest House Boshab
457,Grand Gaube,MU,70.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
459,Pingxiang,CN,82.53,few clouds,27.6167,113.85,Haiyuntian Hotel
462,Kahului,US,75.85,broken clouds,20.8947,-156.47,Maui Seaside Hotel
463,Karratha,AU,70.02,clear sky,-20.7377,116.8463,ibis Styles Karratha
464,Mandan,US,73.36,clear sky,46.8267,-100.8896,Twin City Estates
465,Bontang,ID,78.94,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
466,Qui Nhon,VN,80.55,few clouds,13.7667,109.2333,Seagull Hotel
469,Batticaloa,LK,81.1,overcast clouds,7.7102,81.6924,Grand Star Guest House
470,Synya,RU,66.2,scattered clouds,65.3718,58.0387,
471,Ust-Maya,RU,67.17,broken clouds,60.4167,134.5333,
472,Ukiah,US,81.45,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
473,Tete,MZ,77.09,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
474,Manggar,ID,81.05,overcast clouds,-2.8833,108.2667,Guest Hotel
475,Bristol,US,84.67,clear sky,41.8334,-71.1662,
479,Piacabucu,BR,78.93,few clouds,-10.4056,-36.4344,Piaçabuçu News
480,Verkhnyaya Toyma,RU,70.86,overcast clouds,62.2349,44.9985,Gostinitsa
481,Pedernales,DO,84.78,clear sky,18.0384,-71.744,Hotel Costa Marina
482,Turukhansk,RU,62.53,scattered clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
483,Pando,UY,66.6,light rain,-34.7167,-55.95,viviendas mvotma
486,Port Hedland,AU,60.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
