City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description
163,Bathsheba,BB,2022-07-27 15:37:27,13.2167,-59.5167,83.01,97,75,20.71,broken clouds
164,Sitia,GR,2022-07-27 15:37:28,35.2,26.0986,79.57,61,0,8.57,clear sky
165,Zyryanka,RU,2022-07-27 15:37:28,65.75,150.85,45.9,62,15,6.53,few clouds
166,Avarua,CK,2022-07-27 15:32:37,-21.2078,-159.775,73.45,68,75,11.5,broken clouds
167,Lompoc,US,2022-07-27 15:34:02,34.6391,-120.4579,58.93,88,100,3.0,fog
168,Awjilah,LY,2022-07-27 15:37:29,29.1081,21.2869,99.9,15,0,14.0,clear sky
169,Nelson Bay,AU,2022-07-27 15:37:29,-32.7167,152.15,53.01,80,73,11.99,broken clouds
170,Upernavik,GL,2022-07-27 15:37:29,72.7868,-56.1549,39.31,81,100,1.77,overcast clouds
171,Khambhat,IN,2022-07-27 15:37:30,22.3,72.6167,83.98,77,72,8.03,broken clouds
172,Bolobo,CD,2022-07-27 15:37:30,-2.1667,16.2333,89.4,33,73,1.48,broken clouds
173,San Carlos De Bariloche,AR,2022-07-27 15:37:30,-41.1456,-71.3082,44.24,63,100,0.0,overcast clouds
174,Jiaozuo,CN,2022-07-27 15:37:31,35.2397,113.2331,76.95,90,100,2.66,overcast clouds
175,San Cristobal,VE,2022-07-27 15:37:31,7.7669,-72.225,77.18,63,79,5.23,broken clouds
176,Gigmoto,PH,2022-07-27 15:37:31,13.7796,124.39,81.37,84,100,4.45,light rain
177,Lasa,IT,2022-07-27 15:37:32,46.6166,10.7002,77.68,73,66,2.71,broken clouds
178,Chuy,UY,2022-07-27 15:37:32,-33.6971,-53.4616,62.28,86,77,8.14,broken clouds
179,Chokurdakh,RU,2022-07-27 15:37:32,70.6333,147.9167,43.79,65,85,9.75,overcast clouds
180,Chara,RU,2022-07-27 15:37:33,56.9064,118.2631,65.41,77,97,2.51,overcast clouds
181,Honningsvag,NO,2022-07-27 15:37:33,70.9821,25.9704,51.55,93,100,10.36,moderate rain
182,Govindgarh,IN,2022-07-27 15:37:33,27.5,76.9833,87.66,65,100,6.53,heavy intensity rain
183,Bonavista,CA,2022-07-27 15:37:34,48.6499,-53.1147,62.56,91,100,7.27,overcast clouds
184,Asau,RO,2022-07-27 15:37:34,46.4333,26.4,79.72,74,72,2.62,broken clouds
185,Sao Filipe,CV,2022-07-27 15:32:43,14.8961,-24.4956,80.02,83,94,1.63,overcast clouds
